# 배치 생성용 명언 목록. 한 줄에 하나씩.
# 형식:  명언  |  카테고리슬러그
# (카테고리를 생략하면 --category 값을 쓰고, 그것도 없으면 AI가 알아서 골라줍니다)
# 슬러그: life comfort courage relationship longing success effort love friend happiness challenge study time family hope
#
# ── 콘텐츠 방향 ─────────────────────────────────────────────
# 검색·공유가 잘 되는 주제 위주. 초반엔 (A) 유명 철학자·현자, (B) 심리·인간관계
# 실용 주제 비중을 높인다. 제목은 인물/키워드를 앞세워 뽑히도록 prompt-template.txt가 처리.
# ※ 생성 후 반드시 사람이 검토하고 다듬을 것(말투 규칙 = prompt-template.txt).

# ── A. 유명 철학자·현자 (검색 잘 됨) ──────────────────────────
# 니체
나를 죽이지 못하는 고통은 나를 더 강하게 만든다. | courage
왜 살아야 하는지를 아는 사람은 그 어떤 어려움도 견뎌낼 수 있다. | life
남과 같아지려 하지 마라. 너는 오직 너 자신이 될 수 있을 뿐이다. | life

# 쇼펜하우어
인생은 고통과 권태 사이를 오가는 시계추와 같다. | life
재물은 바닷물과 같아서, 마시면 마실수록 더 목이 마르다. | success
고독은 뛰어난 사람이 치러야 할 운명이다. | relationship

# 도스토옙스키
무엇보다 자기 자신에게 거짓말을 하지 마라. | life
사람은 고통을 겪고 나서야 비로소 자신이 누구인지 알게 된다. | comfort

# 헤르만 헤세
새는 알을 깨고 나온다. 알은 곧 세계다. 태어나려는 자는 한 세계를 깨뜨려야 한다. | challenge
누구도 다른 사람이 될 수는 없다. 그저 자기 자신이 되면 된다. | life

# 톨스토이
모두가 세상을 바꾸려 하지만, 정작 자신을 바꾸려는 사람은 없다. | life
가장 중요한 때는 바로 지금이고, 가장 중요한 사람은 지금 곁에 있는 사람이다. | relationship

# 카뮈
깊은 겨울, 나는 마침내 내 안에 꺾이지 않는 여름이 있음을 알았다. | comfort

# 노자
남을 아는 사람은 지혜롭고, 자신을 아는 사람은 밝다. | study
세상에서 가장 부드러운 것이 가장 단단한 것을 이긴다. | life

# 공자
잘못을 하고도 고치지 않는 것, 그것이 진짜 잘못이다. | life
이로운 벗이 셋 있고 해로운 벗이 셋 있다. 곧은 사람, 믿음직한 사람, 견문 넓은 사람을 벗하라. | friend

# 장자
우물 안 개구리에게는 바다를 말할 수 없다. 자기가 사는 곳에 갇혀 있기 때문이다. | study

# 부처
미움은 미움으로 사라지지 않는다. 오직 사랑으로만 사라진다. | comfort

# 소크라테스
반성하지 않는 삶은 살 가치가 없다. | life

# 마르쿠스 아우렐리우스
가장 좋은 복수는 그들과 같은 사람이 되지 않는 것이다. | relationship
우리의 삶은 우리가 늘 하는 생각이 만들어 낸다. | life

# ── B. 심리·인간관계 실용 주제 (공유 잘 됨) ──────────────────
# 상처받았을 때 되새길 말
아물지 않을 상처는 없다. 시간이 지나면 딱지가 앉고, 그 자리에 새살이 돋는다. | comfort
남이 나를 어떻게 대하든, 그것은 그 사람의 그릇이지 나의 값어치가 아니다. | comfort

# 곁에 두면 안 되는 사람 / 무례한 사람 대처법
함부로 인연을 맺지 마라. 스치는 인연까지 붙잡으려 하면 결국 내가 상한다. | relationship
무례한 사람에게 똑같이 화를 내면, 그 사람과 같은 자리로 내려가는 것이다. | relationship

# 나이 들수록 멀리해야 할 관계 / 인간관계에 지쳤을 때
나이가 들수록 사람은 넓히는 것이 아니라 추리는 것이다. | relationship
모든 사람에게 좋은 사람이 되려다 보면, 정작 나에게 나쁜 사람이 된다. | comfort
